Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-br.gov.saude.br-core.fhir.json	44250	-	0	0	0	0	0	0	15	43	0	0	0	0	0	0	0	1	0	0	157	177	0	0	0	4	0	9
fsh-generated/resources/StructureDefinition-br-core-address-aldeia.json	2338	2	0	8	3	0	0	0	0	64	0	0	1	0	0	0	0	0	0	0	30	458	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-br-core-address-dsei.json	2522	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	88	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-br-core-address-polo.json	2487	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	31	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-br-core-address.json	7109	1	0	27	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	73	119	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-br-core-allergyintolerance.json	14437	2	0	20	16	0	0	0	1	29	0	1	0	0	0	0	0	1	0	0	195	249	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-br-core-appointment.json	10955	1	0	19	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	175	208	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-br-core-base-legal-lgpd.json	2221	1	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-br-core-capacidadefuncional.json	6754	0	0	34	14	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	199	498	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-br-core-careplan.json	18519	1	0	21	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	278	316	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-br-core-careteam.json	9122	1	0	10	0	0	0	0	0	63	0	0	0	0	0	0	0	1	0	0	150	178	0	1	0	3	0	0
fsh-generated/resources/StructureDefinition-br-core-composition.json	24436	2	0	29	0	0	0	0	0	45	0	0	1	0	0	0	0	1	0	0	320	526	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-br-core-condition.json	13481	1	0	1	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	192	858	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-br-core-consent.json	18591	2	0	19	6	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	253	267	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-br-core-diagnosticreport-conduta.json	1819	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	66	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-br-core-diagnosticreport.json	11898	1	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	149	190	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-br-core-encounter.json	25591	2	0	25	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	299	341	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-br-core-healthcareservice.json	13850	1	0	14	0	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	199	175	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-br-core-immunization.json	23249	2	0	24	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	255	198	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-br-core-location.json	10822	1	0	11	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	156	122	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-br-core-medication.json	8377	1	0	10	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	125	107	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-br-core-medicationadministration.json	14558	1	0	16	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	183	165	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-br-core-medicationdispense.json	16027	1	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	190	167	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-br-core-medicationrequest.json	33755	2	0	34	1	0	0	0	1	42	0	0	1	0	0	0	0	2	0	0	434	383	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-br-core-medicationstatement.json	21425	2	0	18	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	251	211	0	1	0	6	1	0
fsh-generated/resources/StructureDefinition-br-core-observation.json	17960	1	0	21	4	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	254	296	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-br-core-observationalcoholuse.json	3549	1	0	16	3	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	163	181	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-br-core-observationbreastfeedingstatus.json	1708	1	0	11	3	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	122	150	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-br-core-observationpregnancyedd.json	2075	0	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	141	151	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-br-core-observationpregnancyoutcome.json	1352	1	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	117	241	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-br-core-observationpregnancystatus.json	1423	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	117	229	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-br-core-observationtobaccouse.json	4630	1	0	14	3	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	178	304	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-br-core-organization.json	33965	2	0	25	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	477	301	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-br-core-patient.json	57441	4	0	45	8	0	0	0	1	67	0	0	1	0	0	0	0	2	0	0	920	576	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-br-core-pesquisaclinica.json	4519	1	0	4	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	76	64	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-br-core-populacaotradicional.json	2281	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	49	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-br-core-povoitinerante.json	2204	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-br-core-practitioner.json	74070	4	0	47	0	0	0	0	0	75	0	0	1	0	0	0	0	3	0	0	1059	568	0	0	0	21	1	2
fsh-generated/resources/StructureDefinition-br-core-practitionerrole.json	16035	1	0	15	0	0	0	0	1	24	0	0	0	0	0	0	0	1	0	0	227	144	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-br-core-procedure.json	19716	2	0	12	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	236	208	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-br-core-registroatendimentoclinico.json	61143	3	0	56	0	0	0	0	1	89	0	0	2	0	0	0	0	4	0	0	1087	729	0	1	0	21	2	2
fsh-generated/resources/StructureDefinition-br-core-relatedperson.json	7815	1	0	8	15	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	113	128	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-br-core-schedule.json	5743	1	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	90	90	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-br-core-servicerequest.json	14179	1	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	188	193	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-br-core-slot.json	6132	1	0	8	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	92	105	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-br-core-specimen.json	15252	1	0	12	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	217	185	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-br-core-sumarioalta.json	46074	3	0	41	0	0	0	0	1	67	0	0	1	0	0	0	0	3	0	0	807	553	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-br-core-vitalsigns.json	19758	1	0	18	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	293	217	0	0	0	7	0	1
input/examples/AllergyIntolerance-42a8e4ee-cc8b-4c07-bee2-da8fe14ada34.json	1501	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
input/examples/AllergyIntolerance-b2549739-2479-406e-ab6e-1e4251b08bc9.json	2240	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/examples/CapacidadeFuncional-ae6990a3-bf35-4758-88b8-825c9e5f0e98.json	843	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
input/examples/CarePlan-1ed343f2-5231-40d6-a6ea-4428105b7532.json	1487	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
input/examples/CareTeam-0af04a2a-5174-438d-85ae-fc83df65541e.json	2136	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
input/examples/Composition-5c0878bd-a787-489d-82aa-82f4fb55909e.json	3123	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0
